key,value,date
frasi,0,1943
frasi,0,1944
frasi,22.612,1945
frasi,26.365,1946
frasi,28.456,1947
frasi,29.631,1948
frasi,25.07,1949
frasi,14.064,1950
frasi,18.869,1951
frasi,50.494,1952
frasi,52.737,1953
frasi,32.468,1954
frasi,2.414,1955
frasi,0,1956
frasi,13.802,1957
frasi,88.129,1958
frasi,4.812,1959
frasi,0,1960
frasi,0,1961
frasi,3.868,1962
frasi,28.335,1963
frasi,6.352,1964
frasi,24.489,1965
frasi,3.358,1966
frasi,37.758,1967
frasi,9.723,1968
frasi,2.223,1969
frasi,0,1970
frasi,4.881,1971
frasi,14.857,1972
frasi,6.479,1973
frasi,11.708,1974
frasi,51.012,1975
frasi,6.874,1976
frasi,22.523,1977
frasi,1.635,1978
frasi,4.899,1979
frasi,11.499,1980
frasi,3.698,1981
frasi,23.121,1982
frasi,56.961,1983
frasi,15.767,1984
misto,0,1943
misto,0,1944
misto,1.618,1945
misto,6.379,1946
misto,2.78,1947
misto,1.389,1948
misto,2.055,1949
misto,2.084,1950
misto,2.453,1951
misto,3.268,1952
misto,5.367,1953
misto,0,1954
misto,0,1955
misto,0,1956
misto,1.974,1957
misto,12.85,1958
misto,2.118,1959
misto,0,1960
misto,0,1961
misto,2.804,1962
misto,8.107,1963
misto,0,1964
misto,14.528,1965
misto,0,1966
misto,4.285,1967
misto,1.961,1968
misto,1.346,1969
misto,0,1970
misto,0.453,1971
misto,2.583,1972
misto,0.985,1973
misto,1.148,1974
misto,1.189,1975
misto,1.434,1976
misto,3.629,1977
misto,2.773,1978
misto,0.289,1979
misto,0,1980
misto,5.015,1981
misto,6.13,1982
misto,12.13,1983
misto,1.285,1984
parole,0.885,1943
parole,0,1944
parole,0.79,1945
parole,5.901,1946
parole,5.179,1947
parole,5.545,1948
parole,3.284,1949
parole,0.991,1950
parole,0,1951
parole,1.706,1952
parole,7.241,1953
parole,9.514,1954
parole,0.186,1955
parole,0,1956
parole,1.001,1957
parole,5.212,1958
parole,1.623,1959
parole,0,1960
parole,0,1961
parole,0.562,1962
parole,14.667,1963
parole,2.063,1964
parole,20.774,1965
parole,0.809,1966
parole,6.947,1967
parole,1.017,1968
parole,1.001,1969
parole,0,1970
parole,0.62,1971
parole,3.352,1972
parole,0.813,1973
parole,0.861,1974
parole,4.885,1975
parole,4.864,1976
parole,0.982,1977
parole,2.371,1978
parole,0.783,1979
parole,0.781,1980
parole,5.51,1981
parole,6.253,1982
parole,8.883,1983
parole,4.837,1984
sintagmi,5.608,1943
sintagmi,0,1944
sintagmi,6.711,1945
sintagmi,9.853,1946
sintagmi,7.952,1947
sintagmi,15.412,1948
sintagmi,17.266,1949
sintagmi,2.166,1950
sintagmi,5.151,1951
sintagmi,8.318,1952
sintagmi,6.587,1953
sintagmi,9.157,1954
sintagmi,2.887,1955
sintagmi,7.301,1956
sintagmi,7.435,1957
sintagmi,60.948,1958
sintagmi,11.366,1959
sintagmi,0,1960
sintagmi,0,1961
sintagmi,4.598,1962
sintagmi,14.109,1963
sintagmi,17.172,1964
sintagmi,22.367,1965
sintagmi,7.409,1966
sintagmi,16.463,1967
sintagmi,18.272,1968
sintagmi,2.57,1969
sintagmi,0,1970
sintagmi,4.117,1971
sintagmi,5.582,1972
sintagmi,2.182,1973
sintagmi,3.611,1974
sintagmi,3.866,1975
sintagmi,11.594,1976
sintagmi,8.505,1977
sintagmi,2.843,1978
sintagmi,2.178,1979
sintagmi,7.007,1980
sintagmi,13.872,1981
sintagmi,2.332,1982
sintagmi,57.896,1983
sintagmi,19.556,1984
