year,f,m,p,s
1942,0,0,0,0
1943,0,0,0.885,5.608
1944,0,0,0,0
1945,22.612,1.618,0.79,6.711
1946,26.365,6.379,5.901,9.853
1947,28.456,2.78,5.179,7.952
1948,29.631,1.389,5.545,15.412
1949,25.07,2.055,3.284,17.266
1950,14.064,2.084,0.991,2.166
1951,18.869,2.453,0,5.151
1952,50.494,3.268,1.706,8.318
1953,52.737,5.367,7.241,6.587
1954,32.468,0,9.514,9.157
1955,2.414,0,0.186,2.887
1956,0,0,0,7.301
1957,13.802,1.974,1.001,7.435
1958,88.129,12.85,5.212,60.948
1959,4.812,2.118,1.623,11.366
1960,0,0,0,0
1961,0,0,0,0
1962,3.868,2.804,0.562,4.598
1963,28.335,8.107,14.667,14.109
1964,6.352,0,2.063,17.172
1965,24.489,14.528,20.774,22.367
1966,3.358,0,0.809,7.409
1967,37.758,4.285,6.947,16.463
1968,9.723,1.961,1.017,18.272
1969,2.223,1.346,1.001,2.57
1970,0,0,0,0
1971,4.881,0.453,0.62,4.117
1972,14.857,2.583,3.352,5.582
1973,6.479,0.985,0.813,2.182
1974,11.708,1.148,0.861,3.611
1975,51.012,1.189,4.885,3.866
1976,6.874,1.434,4.864,11.594
1977,22.523,3.629,0.982,8.505
1978,1.635,2.773,2.371,2.843
1979,4.899,0.289,0.783,2.178
1980,11.499,0,0.781,7.007
1981,3.698,5.015,5.51,13.872
1982,23.121,6.13,6.253,2.332
1983,56.961,12.13,8.883,57.896
1984,15.767,1.285,4.837,19.556
1985,0,0,0,0
